Rey,u_mean,du/dy,TKE*,u_rms,v_rms,w_rms,uv
0,3.75E-18,8.367616188,1.22E-30,2.43E-30,9.05E-35,7.11E-33,4.75E-35
0.638025128,0.001991032,8.365622396,3.20E-07,5.04E-07,3.54E-13,1.36E-07,9.66E-11
2.551797026,0.007960352,8.35960737,5.09E-06,8.06E-06,8.79E-11,2.12E-06,6.22E-09
5.740414163,0.017896382,8.349453333,2.55E-05,4.07E-05,2.14E-09,1.03E-05,7.16E-08
10.20233233,0.031779511,8.334571402,7.95E-05,0.000128303,2.00E-08,3.06E-05,4.07E-07
15.93546284,0.049579769,8.313472542,0.000190948,0.00031222,1.09E-07,6.96E-05,1.58E-06
22.93709216,0.071252122,8.282951543,0.000388702,0.000644741,4.21E-07,0.000132243,4.77E-06
31.20368559,0.096723635,8.237262583,0.000705055,0.001187147,1.28E-06,0.000221687,1.21E-05
40.7317084,0.125878748,8.167362093,0.001173024,0.002004671,3.23E-06,0.000338147,2.70E-05
51.51634053,0.158527568,8.060807801,0.001821243,0.003156186,7.11E-06,0.000479188,5.41E-05
63.55240487,0.194377132,7.902902853,0.00266618,0.004677996,1.40E-05,0.000640359,9.89E-05
76.83436727,0.232994438,7.679286902,0.003703035,0.006564629,2.52E-05,0.00081625,0.000166707
91.35580098,0.273799721,7.379444167,0.004899207,0.00875481,4.20E-05,0.00100156,0.000261461
107.1097437,0.316070378,7.000245153,0.006194301,0.011130764,6.59E-05,0.001191907,0.000384352
124.0886975,0.358988578,6.5478479,0.007508496,0.013534822,9.81E-05,0.001384056,0.000533092
142.2848074,0.401703441,6.037327829,0.008757234,0.015799096,0.00013967,0.001575701,0.000702058
161.6891475,0.44341282,5.490111893,0.009866702,0.017777031,0.000191423,0.00176495,0.00088328
182.2931487,0.483431081,4.930075119,0.010784963,0.019366157,0.000253881,0.001949889,0.001067872
204.0852072,0.521233356,4.379611911,0.011485894,0.020516337,0.000327166,0.002128285,0.001247484
227.0572895,0.556475149,3.856910361,0.011967021,0.021225373,0.000410966,0.002297703,0.001415355
251.1968991,0.588978327,3.374555755,0.012243731,0.02152725,0.000504502,0.00245571,0.001566809
276.4933248,0.618711524,2.93956422,0.012342227,0.021477637,0.000606542,0.002600274,0.001699248
302.9340701,0.645744758,2.554316529,0.012293817,0.02114205,0.000715465,0.00273012,0.001811806
330.5066386,0.670229273,2.217794755,0.012130192,0.0205862,0.000829338,0.002844845,0.001904879
359.1967485,0.692361123,1.926894639,0.011880908,0.019870953,0.000946058,0.002944804,0.001979658
388.9936886,0.712347567,1.677325744,0.011571576,0.019048951,0.001063471,0.00303073,0.002037754
419.881392,0.730401465,1.464360174,0.01122307,0.018163292,0.001179478,0.00310337,0.002080948
451.8437918,0.74674128,1.283345749,0.010851988,0.017248506,0.001292104,0.003163365,0.002111005
484.8683916,0.761574269,1.12989108,0.01047054,0.016330143,0.001399567,0.003211371,0.002129568
518.9391245,0.775085284,1.000075883,0.01008771,0.01542702,0.001500291,0.003248108,0.002138122
554.0363531,0.787436772,0.890526697,0.009709554,0.014551613,0.001592963,0.003274531,0.002137962
590.147581,0.798785577,0.798213294,0.009340857,0.013713316,0.001676533,0.003291863,0.002130215
627.254956,0.80927734,0.720388954,0.008984663,0.01291809,0.001750239,0.003300997,0.002115935
665.338841,0.819029694,0.654566903,0.008643432,0.012170704,0.001813617,0.003302542,0.002096082
704.3813837,0.828137866,0.598658288,0.008318246,0.011473651,0.001866541,0.0032963,0.002071454
744.3665172,0.836702685,0.551048727,0.00800916,0.010826974,0.001909182,0.003282165,0.00204269
